Testcase 1
Gaussian Elimination Time:2124microsec
Gauss-Seidel Time:362253microsec
0.0128543       0.0128705       误差：-0.125383%
0.0256309       0.0256626       误差：-0.123635%
0.0383305       0.0383772       误差：-0.121897%
0.0509538       0.0510151       误差：-0.120171%
0.0635016       0.063577        误差：-0.118456%
0.0759748       0.0760636       误差：-0.116751%
0.0883739       0.0884757       误差：-0.115058%
0.1007  0.100814        误差：-0.113375%
0.112953        0.113079        误差：-0.111703%
0.125135        0.125272        误差：-0.110041%
0.137245        0.137394        误差：-0.108391%
0.149285        0.149445        误差：-0.106751%
0.161255        0.161425        误差：-0.105122%
0.173157        0.173336        误差：-0.103503%
0.18499 0.185178        误差：-0.101895%
0.196755        0.196953        误差：-0.100298%
0.208453        0.208659        误差：-0.0987106%
0.220085        0.220299        误差：-0.0971341%
0.231652        0.231873        误差：-0.095568%
0.243153        0.243382        误差：-0.0940124%
0.25459 0.254826        误差：-0.0924672%
0.265963        0.266205        误差：-0.0909323%
0.277273        0.277522        误差：-0.0894077%
0.288521        0.288775        误差：-0.0878934%
0.299707        0.299966        误差：-0.0863894%
0.310831        0.311096        误差：-0.0848955%
0.321895        0.322164        误差：-0.0834119%
0.332899        0.333172        误差：-0.0819383%
0.343844        0.344121        误差：-0.0804749%
0.354729        0.35501 误差：-0.0790215%
0.365557        0.36584 误差：-0.0775782%
0.376326        0.376613        误差：-0.0761449%
0.387039        0.387328        误差：-0.0747215%
0.397695        0.397986        误差：-0.073308%
0.408294        0.408588        误差：-0.0719044%
0.418839        0.419135        误差：-0.0705107%
0.429329        0.429626        误差：-0.0691267%
0.439764        0.440062        误差：-0.0677526%
0.450145        0.450444        误差：-0.0663881%
0.460473        0.460773        误差：-0.0650334%
0.470749        0.471049        误差：-0.0636883%
0.480972        0.481272        误差：-0.0623528%
0.491143        0.491443        误差：-0.0610269%
0.501264        0.501563        误差：-0.0597106%
0.511333        0.511632        误差：-0.0584037%
0.521352        0.52165 误差：-0.0571063%
0.531322        0.531619        误差：-0.0558184%
0.541243        0.541538        误差：-0.0545398%
0.551114        0.551408        误差：-0.0532706%
0.560938        0.56123 误差：-0.0520107%
0.570714        0.571003        误差：-0.0507601%
0.580442        0.58073 误差：-0.0495187%
0.590124        0.590409        误差：-0.0482864%
0.599759        0.600041        误差：-0.0470634%
0.609348        0.609628        误差：-0.0458494%
0.618892        0.619169        误差：-0.0446445%
0.628391        0.628664        误差：-0.0434487%
0.637846        0.638115        误差：-0.0422618%
0.647256        0.647522        误差：-0.0410839%
0.656623        0.656885        误差：-0.039915%
0.665946        0.666204        误差：-0.0387548%
0.675227        0.675481        误差：-0.0376036%
0.684465        0.684714        误差：-0.0364611%
0.693661        0.693906        误差：-0.0353274%
0.702816        0.703056        误差：-0.0342023%
0.711929        0.712165        误差：-0.033086%
0.721002        0.721233        误差：-0.0319783%
0.730035        0.73026 误差：-0.0308792%
0.739027        0.739248        误差：-0.0297886%
0.74798 0.748195        误差：-0.0287065%
0.756894        0.757104        误差：-0.0276329%
0.765769        0.765973        误差：-0.0265678%
0.774606        0.774804        误差：-0.025511%
0.783405        0.783597        误差：-0.0244626%
0.792166        0.792352        误差：-0.0234225%
0.80089 0.80107 误差：-0.0223906%
0.809577        0.80975 误差：-0.021367%
0.818228        0.818395        误差：-0.0203515%
0.826842        0.827002        误差：-0.0193443%
0.835421        0.835574        误差：-0.0183451%
0.843964        0.844111        误差：-0.0173539%
0.852472        0.852612        误差：-0.0163708%
0.860946        0.861078        误差：-0.0153957%
0.869385        0.86951 误差：-0.0144285%
0.87779 0.877908        误差：-0.0134692%
0.886161        0.886272        误差：-0.0125178%
0.894499        0.894603        误差：-0.0115742%
0.902804        0.9029  误差：-0.0106383%
0.911076        0.911164        误差：-0.00971023%
0.919316        0.919396        误差：-0.00878983%
0.927523        0.927596        误差：-0.00787707%
0.935699        0.935764        误差：-0.00697193%
0.943844        0.943901        误差：-0.00607437%
0.951957        0.952006        误差：-0.00518433%
0.960039        0.960081        误差：-0.00430179%
0.968091        0.968125        误差：-0.00342669%
0.976113        0.976138        误差：-0.00255901%
0.984105        0.984122        误差：-0.00169869%
0.992067        0.992076        误差：-0.000845701%
--------------------------------
0.0128503       0.0128705       误差：-0.125383%
0.0256229       0.0256626       误差：-0.123635%
0.0383186       0.0383772       误差：-0.121897%
0.0509381       0.0510151       误差：-0.120171%
0.0634822       0.063577        误差：-0.118456%
0.0759516       0.0760636       误差：-0.116751%
0.088347        0.0884757       误差：-0.115058%
0.100669        0.100814        误差：-0.113375%
0.112919        0.113079        误差：-0.111703%
0.125097        0.125272        误差：-0.110041%
0.137204        0.137394        误差：-0.108391%
0.149241        0.149445        误差：-0.106751%
0.161208        0.161425        误差：-0.105122%
0.173106        0.173336        误差：-0.103503%
0.184936        0.185178        误差：-0.101895%
0.196699        0.196953        误差：-0.100298%
0.208394        0.208659        误差：-0.0987106%
0.220023        0.220299        误差：-0.0971341%
0.231587        0.231873        误差：-0.095568%
0.243086        0.243382        误差：-0.0940124%
0.25452 0.254826        误差：-0.0924672%
0.265891        0.266205        误差：-0.0909323%
0.277199        0.277522        误差：-0.0894077%
0.288444        0.288775        误差：-0.0878934%
0.299628        0.299966        误差：-0.0863894%
0.310751        0.311096        误差：-0.0848955%
0.321813        0.322164        误差：-0.0834119%
0.332815        0.333172        误差：-0.0819383%
0.343757        0.344121        误差：-0.0804749%
0.354641        0.35501 误差：-0.0790215%
0.365467        0.36584 误差：-0.0775782%
0.376236        0.376613        误差：-0.0761449%
0.386947        0.387328        误差：-0.0747215%
0.397602        0.397986        误差：-0.073308%
0.4082  0.408588        误差：-0.0719044%
0.418744        0.419135        误差：-0.0705107%
0.429233        0.429626        误差：-0.0691267%
0.439667        0.440062        误差：-0.0677526%
0.450048        0.450444        误差：-0.0663881%
0.460376        0.460773        误差：-0.0650334%
0.470651        0.471049        误差：-0.0636883%
0.480873        0.481272        误差：-0.0623528%
0.491045        0.491443        误差：-0.0610269%
